author_id,total_publications,total_citations,h_index,i10_index,avg_citations
https://openalex.org/A5048632251,3,9,1,0,3.00
https://openalex.org/A5052898875,76,461,12,17,6.07
https://openalex.org/A5077761860,67,306,11,12,4.57
https://openalex.org/A5030771199,14,20,3,0,1.43
https://openalex.org/A5056478165,45,44,4,2,0.98
https://openalex.org/A5018510872,106,345,7,5,3.25
https://openalex.org/A5084049468,45,330,7,7,7.33
https://openalex.org/A5014047994,145,6342,42,76,43.74
https://openalex.org/A5078807433,77,239,8,7,3.10
https://openalex.org/A5006444563,85,227,8,6,2.67
https://openalex.org/A5069245197,39,153,6,5,3.92
https://openalex.org/A5028531998,33,177,7,5,5.36
https://openalex.org/A5017401869,36,55,5,0,1.53
https://openalex.org/A5030175831,64,286,11,12,4.47
https://openalex.org/A5071403610,84,180,7,5,2.14
https://openalex.org/A5089582996,59,291,8,6,4.93
https://openalex.org/A5009081764,15,90,5,1,6.00
https://openalex.org/A5027601363,41,133,6,4,3.24
https://openalex.org/A5090784384,45,143,6,4,3.18
https://openalex.org/A5072518832,27,85,3,1,3.15
https://openalex.org/A5119347598,1,1,1,0,1.00
https://openalex.org/A5068829171,277,1225,16,37,4.42
https://openalex.org/A5076100970,56,147,7,4,2.63
https://openalex.org/A5074340276,15,72,4,2,4.80
https://openalex.org/A5083369033,111,186,7,3,1.68
https://openalex.org/A5088359666,41,157,7,4,3.83
https://openalex.org/A5031020300,45,170,5,5,3.78
https://openalex.org/A5051074236,25,1433,14,14,57.32
https://openalex.org/A5026461562,42,159,5,4,3.79
https://openalex.org/A5063675287,15,132,6,3,8.80
https://openalex.org/A5031531608,17,71,5,4,4.18
https://openalex.org/A5104107923,2,0,0,0,0.00
https://openalex.org/A5052654183,12,54,4,2,4.50
https://openalex.org/A5057405131,53,83,4,2,1.57
https://openalex.org/A5049696553,44,952,11,14,21.64
https://openalex.org/A5068247021,46,150,6,4,3.26
https://openalex.org/A5035394657,701,40066,101,352,57.16
https://openalex.org/A5057406592,17,41,3,1,2.41
https://openalex.org/A5021155360,27,97,7,3,3.59
https://openalex.org/A5033692543,31,83,5,3,2.68
https://openalex.org/A5016441389,104,538,10,10,5.17
https://openalex.org/A5047737595,610,36095,100,479,59.17
https://openalex.org/A5077532283,49,96,5,2,1.96
https://openalex.org/A5002577573,91,174,6,2,1.91
https://openalex.org/A5050093193,1,134,1,1,134.00
https://openalex.org/A5075498602,23,59,4,2,2.57
https://openalex.org/A5076263246,34,47,4,2,1.38
https://openalex.org/A5039648761,30,96,6,4,3.20
https://openalex.org/A5110564365,42,56,4,0,1.33
https://openalex.org/A5114188295,22,481,8,7,21.86
https://openalex.org/A5069443738,67,157,7,3,2.34
https://openalex.org/A5004396573,38,146,4,3,3.84
https://openalex.org/A5025326561,41,54,4,0,1.32
https://openalex.org/A5043187025,16,56,4,2,3.50
https://openalex.org/A5074561647,29,45,4,0,1.55
https://openalex.org/A5076178878,22,31,3,0,1.41
https://openalex.org/A5084916355,46,83,4,0,1.80
https://openalex.org/A5020934516,20,37,3,1,1.85
https://openalex.org/A5078785417,40,147,5,2,3.67
https://openalex.org/A5011872561,17,21,2,1,1.24
https://openalex.org/A5068860464,41,37,4,0,0.90
https://openalex.org/A5071937780,22,395,4,1,17.95
https://openalex.org/A5047195083,19,21,2,1,1.11
https://openalex.org/A5112724136,23,46,4,1,2.00
https://openalex.org/A5087822249,29,17,2,0,0.59
